REGC2023_V,REGC2023_1,REGC2023_2,LAND_AREA_,AREA_SQ_KM,Shape_Leng,xcoord,ycoord,latitude,longitude
01,Northland Region,Northland Region,12507.1390521,12519.4868725,3315596.40311,1674873.48194,6070435.71865,-35.5068300757,173.825630293
02,Auckland Region,Auckland Region,4941.1642481,4942.23052023,2894126.47902,1754577.21591,5936226.62232,-36.707072397,174.730597688
03,Waikato Region,Waikato Region,23900.9534277,24579.4072739,2193386.75817,1819631.5962,5787806.48902,-38.0308466872,175.502430055
04,Bay of Plenty Region,Bay of Plenty Region,12071.5496228,12281.3700046,1422856.42741,1935077.32912,5769640.8896,-38.1588914486,176.824076271
05,Gisborne Region,Gisborne Region,8385.06498182,8385.06498182,695703.917851,2030671.16054,5751619.39769,-38.2801884279,177.922663523
06,Hawke's Bay Region,Hawke's Bay Region,14139.0513316,14190.848633,953499.522498,1923015.93755,5633978.35973,-39.3832619731,176.750122979
07,Taranaki Region,Taranaki Region,7254.50168042,7254.50168042,534467.773681,1723410.29362,5645242.69094,-39.3334392607,174.431912366
08,Manawatū-Whanganui Region,Manawatu-Whanganui Region,22220.6389895,22220.6389895,1118034.21657,1818923.02217,5597454.5084,-39.7447119557,175.555065374
09,Wellington Region,Wellington Region,8049.47423984,8119.56223071,679574.001214,1808336.07437,5448630.01886,-41.0869134331,175.48035138
12,West Coast Region,West Coast Region,23245.518393,23321.1643196,1726195.17896,1428664.95826,5260502.50658,-42.7888673021,170.905140237
13,Canterbury Region,Canterbury Region,44503.5961922,45207.4758145,1860629.57962,1484454.05044,5174472.34217,-43.573759162,171.569024472
14,Otago Region,Otago Region,31186.1615708,31904.5179206,1510483.16252,1327793.93376,4982341.86496,-45.2597013512,169.530553118
15,Southland Region,Southland Region,31218.9549179,31870.256296,4123256.66575,1205194.33088,4923950.52988,-45.7252066696,167.92617252
16,Tasman Region,Tasman Region,9615.57606192,9649.08621614,1065443.778,1570729.10801,5411572.27923,-41.4468940483,172.649580423
17,Nelson Region,Nelson Region,422.19384958,422.19384958,174268.810284,1632925.0381,5433824.73099,-41.2463139149,173.392957667
18,Marlborough Region,Marlborough Region,10457.8880262,10470.6797073,2308649.05738,1644330.10446,5384039.30507,-41.6941919299,173.532729867
99,Area Outside Region,Area Outside Region,798.84243615,813.23298829,490330.964725,2435109.57648,5088517.77129,-43.8812328916,-176.606564855
